src_text,tgt_text,author,filename
دل یہ کہتا ہے کہ شاید ہے فسردہ تو بھی,dil ye kahtā hai ki shāyad hai fasurda tū bhī,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
دل کی کیا بات کریں دل تو ہے ناداں جاناں,dil kī kyā baat kareñ dil to hai nādāñ jānāñ,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
اول اول کی محبت کے نشے یاد تو کر,avval avval kī mohabbat ke nashe yaad to kar,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
بے پیے بھی ترا چہرہ تھا گلستاں جاناں,be-piye bhī tirā chehra thā gulistāñ jānāñ,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
آخر آخر تو یہ عالم ہے کہ اب ہوش نہیں,āḳhir āḳhir to ye aalam hai ki ab hosh nahīñ,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
رگ مینا سلگ اٹھی کہ رگ جاں جاناں,rag-e-mīnā sulag utthī ki rag-e-jāñ jānāñ,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
مدتوں سے یہی عالم نہ توقع نہ امید,muddatoñ se yahī aalam na tavaqqo na umiid,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
دل پکارے ہی چلا جاتا ہے جاناں جاناں,dil pukāre hī chalā jaatā hai jānāñ jānāñ,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
ہم بھی کیا سادہ تھے ہم نے بھی سمجھ رکھا تھا,ham bhī kyā saada the ham ne bhī samajh rakkhā thā,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
غم دوراں سے جدا ہے غم جاناں جاناں,ġham-e-daurāñ se judā hai ġham-e-jānāñ jānāñ,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
اب کے کچھ ایسی سجی محفل یاراں جاناں,ab ke kuchh aisī sajī mahfil-e-yārāñ jānāñ,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
سر بہ زانو ہے کوئی سر بہ گریباں جاناں,sar-ba-zānū hai koī sar-ba-garebāñ jānāñ,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
ہر کوئی اپنی ہی آواز سے کانپ اٹھتا ہے,har koī apnī hī āvāz se kaañp uthtā hai,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
ہر کوئی اپنے ہی سائے سے ہراساں جاناں,har koī apne hī saa.e se hirāsāñ jānāñ,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
جس کو دیکھو وہی زنجیر بہ پا لگتا ہے,jis ko dekho vahī zanjīr-ba-pā lagtā hai,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
شہر کا شہر ہوا داخل زنداں جاناں,shahr kā shahr huā dāḳhil-e-zindāñ jānāñ,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
اب ترا ذکر بھی شاید ہی غزل میں آئے,ab tirā zikr bhī shāyad hī ġhazal meñ aa.e,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
اور سے اور ہوئے درد کے عنواں جاناں,aur se aur hue dard ke unvāñ jānāñ,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
ہم کہ روٹھی ہوئی رت کو بھی منا لیتے تھے,ham ki rūthī huī rut ko bhī manā lete the,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
ہم نے دیکھا ہی نہ تھا موسم ہجراں جاناں,ham ne dekhā hī na thā mausam-e-hijrāñ jānāñ,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
ہوش آیا تو سبھی خواب تھے ریزہ ریزہ,hosh aayā to sabhī ḳhvāb the reza reza,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
جیسے اڑتے ہوئے اوراق پریشاں جاناں,jaise uḍte hue aurāq-e-pareshāñ jānāñ,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
اب کیا سوچیں کیا حالات تھے کس کارن یہ زہر پیا ہے,ab kyā socheñ kyā hālāt the kis kāran ye zahr piyā hai,ahmad-faraz,ab-kyaa-sochen-kyaa-haalaat-the-kis-kaaran-ye-zahr-piyaa-hai-ahmad-faraz-ghazals
ہم نے اس کے شہر کو چھوڑا اور آنکھوں کو موند لیا ہے,ham ne us ke shahr ko chhoḍā aur āñkhoñ ko muuñd liyā hai,ahmad-faraz,ab-kyaa-sochen-kyaa-haalaat-the-kis-kaaran-ye-zahr-piyaa-hai-ahmad-faraz-ghazals
اپنا یہ شیوہ تو نہیں تھا اپنے غم اوروں کو سونپیں,apnā ye sheva to nahīñ thā apne ġham auroñ ko sauñpeñ,ahmad-faraz,ab-kyaa-sochen-kyaa-haalaat-the-kis-kaaran-ye-zahr-piyaa-hai-ahmad-faraz-ghazals
خود تو جاگتے یا سوتے ہیں اس کو کیوں بے خواب کیا ہے,ḳhud to jāgte yā sote haiñ us ko kyuuñ be-ḳhvāb kiyā hai,ahmad-faraz,ab-kyaa-sochen-kyaa-haalaat-the-kis-kaaran-ye-zahr-piyaa-hai-ahmad-faraz-ghazals
خلقت کے آوازے بھی تھے بند اس کے دروازے بھی تھے,ḳhilqat ke āvāze bhī the band us ke darvāze bhī the,ahmad-faraz,ab-kyaa-sochen-kyaa-haalaat-the-kis-kaaran-ye-zahr-piyaa-hai-ahmad-faraz-ghazals
پھر بھی اس کوچے سے گزرے پھر بھی اس کا نام لیا ہے,phir bhī us kūche se guzre phir bhī us kā naam liyā hai,ahmad-faraz,ab-kyaa-sochen-kyaa-haalaat-the-kis-kaaran-ye-zahr-piyaa-hai-ahmad-faraz-ghazals
ہجر کی رت جاں لیوا تھی پر غلط سبھی اندازے نکلے,hijr kī rut jāñ-levā thī par ġhalat sabhī andāze nikle,ahmad-faraz,ab-kyaa-sochen-kyaa-haalaat-the-kis-kaaran-ye-zahr-piyaa-hai-ahmad-faraz-ghazals
تازہ رفاقت کے موسم تک میں بھی جیا ہوں وہ بھی جیا ہے,taaza rifāqat ke mausam tak maiñ bhī jiyā huuñ vo bhī jiyā hai,ahmad-faraz,ab-kyaa-sochen-kyaa-haalaat-the-kis-kaaran-ye-zahr-piyaa-hai-ahmad-faraz-ghazals
ایک فرازؔ تمہیں تنہا ہو جو اب تک دکھ کے رسیا ہو,ek 'farāz' tumhīñ tanhā ho jo ab tak dukh ke rasiyā ho,ahmad-faraz,ab-kyaa-sochen-kyaa-haalaat-the-kis-kaaran-ye-zahr-piyaa-hai-ahmad-faraz-ghazals
ورنہ اکثر دل والوں نے درد کا رستہ چھوڑ دیا ہے,varna aksar dil vāloñ ne dard kā rasta chhoḍ diyā hai,ahmad-faraz,ab-kyaa-sochen-kyaa-haalaat-the-kis-kaaran-ye-zahr-piyaa-hai-ahmad-faraz-ghazals
اب شوق سے کہ جاں سے گزر جانا چاہیئے,ab shauq se ki jaañ se guzar jaanā chāhiye,ahmad-faraz,ab-shauq-se-ki-jaan-se-guzar-jaanaa-chaahiye-ahmad-faraz-ghazals
بول اے ہوائے شہر کدھر جانا چاہیئے,bol ai havā-e-shahr kidhar jaanā chāhiye,ahmad-faraz,ab-shauq-se-ki-jaan-se-guzar-jaanaa-chaahiye-ahmad-faraz-ghazals
کب تک اسی کو آخری منزل کہیں گے ہم,kab tak isī ko āḳhirī manzil kaheñge ham,ahmad-faraz,ab-shauq-se-ki-jaan-se-guzar-jaanaa-chaahiye-ahmad-faraz-ghazals
کوئے مراد سے بھی ادھر جانا چاہیئے,kū-e-murād se bhī udhar jaanā chāhiye,ahmad-faraz,ab-shauq-se-ki-jaan-se-guzar-jaanaa-chaahiye-ahmad-faraz-ghazals
وہ وقت آ گیا ہے کہ ساحل کو چھوڑ کر,vo vaqt aa gayā hai ki sāhil ko chhoḍ kar,ahmad-faraz,ab-shauq-se-ki-jaan-se-guzar-jaanaa-chaahiye-ahmad-faraz-ghazals
گہرے سمندروں میں اتر جانا چاہیئے,gahre samundaroñ meñ utar jaanā chāhiye,ahmad-faraz,ab-shauq-se-ki-jaan-se-guzar-jaanaa-chaahiye-ahmad-faraz-ghazals
اب رفتگاں کی بات نہیں کارواں کی ہے,ab raftagāñ kī baat nahīñ kārvāñ kī hai,ahmad-faraz,ab-shauq-se-ki-jaan-se-guzar-jaanaa-chaahiye-ahmad-faraz-ghazals
جس سمت بھی ہو گرد سفر جانا چاہیئے,jis samt bhī ho gard-e-safar jaanā chāhiye,ahmad-faraz,ab-shauq-se-ki-jaan-se-guzar-jaanaa-chaahiye-ahmad-faraz-ghazals
کچھ تو ثبوت خون تمنا کہیں ملے,kuchh to subūt-e-ḳhūn-e-tamannā kahīñ mile,ahmad-faraz,ab-shauq-se-ki-jaan-se-guzar-jaanaa-chaahiye-ahmad-faraz-ghazals
ہے دل تہی تو آنکھ کو بھر جانا چاہیئے,hai dil tahī to aañkh ko bhar jaanā chāhiye,ahmad-faraz,ab-shauq-se-ki-jaan-se-guzar-jaanaa-chaahiye-ahmad-faraz-ghazals
یا اپنی خواہشوں کو مقدس نہ جانتے,yā apnī ḳhvāhishoñ ko muqaddas na jānte,ahmad-faraz,ab-shauq-se-ki-jaan-se-guzar-jaanaa-chaahiye-ahmad-faraz-ghazals
یا خواہشوں کے ساتھ ہی مر جانا چاہیئے,yā ḳhvāhishoñ ke saath hī mar jaanā chāhiye,ahmad-faraz,ab-shauq-se-ki-jaan-se-guzar-jaanaa-chaahiye-ahmad-faraz-ghazals
ابھی کچھ اور کرشمے غزل کے دیکھتے ہیں,abhī kuchh aur karishme ġhazal ke dekhte haiñ,ahmad-faraz,abhii-kuchh-aur-karishme-gazal-ke-dekhte-hain-ahmad-faraz-ghazals
فرازؔ اب ذرا لہجہ بدل کے دیکھتے ہیں,'farāz' ab zarā lahja badal ke dekhte haiñ,ahmad-faraz,abhii-kuchh-aur-karishme-gazal-ke-dekhte-hain-ahmad-faraz-ghazals
جدائیاں تو مقدر ہیں پھر بھی جان سفر,judā.iyāñ to muqaddar haiñ phir bhī jān-e-safar,ahmad-faraz,abhii-kuchh-aur-karishme-gazal-ke-dekhte-hain-ahmad-faraz-ghazals
کچھ اور دور ذرا ساتھ چل کے دیکھتے ہیں,kuchh aur duur zarā saath chal ke dekhte haiñ,ahmad-faraz,abhii-kuchh-aur-karishme-gazal-ke-dekhte-hain-ahmad-faraz-ghazals
رہ وفا میں حریف خرام کوئی تو ہو,rah-e-vafā meñ harīf-e-ḳhirām koī to ho,ahmad-faraz,abhii-kuchh-aur-karishme-gazal-ke-dekhte-hain-ahmad-faraz-ghazals
سو اپنے آپ سے آگے نکل کے دیکھتے ہیں,so apne aap se aage nikal ke dekhte haiñ,ahmad-faraz,abhii-kuchh-aur-karishme-gazal-ke-dekhte-hain-ahmad-faraz-ghazals
تو سامنے ہے تو پھر کیوں یقیں نہیں آتا,tū sāmne hai to phir kyuuñ yaqīñ nahīñ aatā,ahmad-faraz,abhii-kuchh-aur-karishme-gazal-ke-dekhte-hain-ahmad-faraz-ghazals
یہ بار بار جو آنکھوں کو مل کے دیکھتے ہیں,ye baar baar jo āñkhoñ ko mal ke dekhte haiñ,ahmad-faraz,abhii-kuchh-aur-karishme-gazal-ke-dekhte-hain-ahmad-faraz-ghazals
یہ کون لوگ ہیں موجود تیری محفل میں,ye kaun log haiñ maujūd terī mahfil meñ,ahmad-faraz,abhii-kuchh-aur-karishme-gazal-ke-dekhte-hain-ahmad-faraz-ghazals
جو لالچوں سے تجھے مجھ کو جل کے دیکھتے ہیں,jo lālachoñ se tujhe mujh ko jal ke dekhte haiñ,ahmad-faraz,abhii-kuchh-aur-karishme-gazal-ke-dekhte-hain-ahmad-faraz-ghazals
یہ قرب کیا ہے کہ یک جاں ہوئے نہ دور رہے,ye qurb kyā hai ki yak-jāñ hue na duur rahe,ahmad-faraz,abhii-kuchh-aur-karishme-gazal-ke-dekhte-hain-ahmad-faraz-ghazals
ہزار ایک ہی قالب میں ڈھل کے دیکھتے ہیں,hazār ek hī qālib meñ dhal ke dekhte haiñ,ahmad-faraz,abhii-kuchh-aur-karishme-gazal-ke-dekhte-hain-ahmad-faraz-ghazals
نہ تجھ کو مات ہوئی ہے نہ مجھ کو مات ہوئی,na tujh ko maat huī hai na mujh ko maat huī,ahmad-faraz,abhii-kuchh-aur-karishme-gazal-ke-dekhte-hain-ahmad-faraz-ghazals
سو اب کے دونوں ہی چالیں بدل کے دیکھتے ہیں,so ab ke donoñ hī chāleñ badal ke dekhte haiñ,ahmad-faraz,abhii-kuchh-aur-karishme-gazal-ke-dekhte-hain-ahmad-faraz-ghazals
یہ کون ہے سر ساحل کہ ڈوبنے والے,ye kaun hai sar-e-sāhil ki dūbne vaale,ahmad-faraz,abhii-kuchh-aur-karishme-gazal-ke-dekhte-hain-ahmad-faraz-ghazals
سمندروں کی تہوں سے اچھل کے دیکھتے ہیں,samundaroñ kī tahoñ se uchhal ke dekhte haiñ,ahmad-faraz,abhii-kuchh-aur-karishme-gazal-ke-dekhte-hain-ahmad-faraz-ghazals
ابھی تلک تو نہ کندن ہوئے نہ راکھ ہوئے,abhī talak to na kundan hue na raakh hue,ahmad-faraz,abhii-kuchh-aur-karishme-gazal-ke-dekhte-hain-ahmad-faraz-ghazals
ہم اپنی آگ میں ہر روز جل کے دیکھتے ہیں,ham apnī aag meñ har roz jal ke dekhte haiñ,ahmad-faraz,abhii-kuchh-aur-karishme-gazal-ke-dekhte-hain-ahmad-faraz-ghazals
بہت دنوں سے نہیں ہے کچھ اس کی خیر خبر,bahut dinoñ se nahīñ hai kuchh us kī ḳhair ḳhabar,ahmad-faraz,abhii-kuchh-aur-karishme-gazal-ke-dekhte-hain-ahmad-faraz-ghazals
چلو فرازؔ کو اے یار چل کے دیکھتے ہیں,chalo 'farāz' ko ai yaar chal ke dekhte haiñ,ahmad-faraz,abhii-kuchh-aur-karishme-gazal-ke-dekhte-hain-ahmad-faraz-ghazals
اگرچہ زور ہواؤں نے ڈال رکھا ہے,agarche zor havāoñ ne daal rakkhā hai,ahmad-faraz,agarche-zor-havaaon-ne-daal-rakkhaa-hai-ahmad-faraz-ghazals
مگر چراغ نے لو کو سنبھال رکھا ہے,magar charāġh ne lau ko sambhāl rakkhā hai,ahmad-faraz,agarche-zor-havaaon-ne-daal-rakkhaa-hai-ahmad-faraz-ghazals
محبتوں میں تو ملنا ہے یا اجڑ جانا,mohabbatoñ meñ to milnā hai yā ujaḍ jaanā,ahmad-faraz,agarche-zor-havaaon-ne-daal-rakkhaa-hai-ahmad-faraz-ghazals
مزاج عشق میں کب اعتدال رکھا ہے,mizāj-e-ishq meñ kab e'tidāl rakkhā hai,ahmad-faraz,agarche-zor-havaaon-ne-daal-rakkhaa-hai-ahmad-faraz-ghazals
